CGPA,DSA_Score,Aptitude_Score,Communication,Attendance,Internship_Count,Project_Count,Hackathons,Certifications,Backlogs,Placed
7.185430534813131,76.57909074507188,43.430712730312,3.406041665812917,73.20227138498632,1,1,3,2,1,1
9.778214378844623,32.20312343314091,52.63600934808645,0.7171188884765101,70.1879483530924,0,5,0,3,3,1
8.793972738151323,66.10306881334506,45.86594815588916,4.096288948952321,51.63178407621356,3,5,1,0,10,0
8.193963178886666,68.53720371062848,54.849741408235616,3.1121749506339356,91.52900627008928,0,0,2,0,0,0
6.202083881990964,53.93045370419088,34.85966899222654,6.7712063973500936,80.61644697981023,2,3,1,2,2,1
6.201975341512912,78.91553884997782,66.33418536357892,6.057792494526904,90.27450249110822,2,0,1,2,9,0
5.761376254756898,94.74936118152118,34.73287945145504,3.6459372819754,91.52585676096834,3,2,3,1,6,1
9.397792655987208,94.04548103254211,86.02495554756531,2.178925542549901,84.90135121994439,0,5,3,2,9,1
8.20501755284444,56.06714971233057,46.35984573373031,9.880359661555918,66.35263607498304,3,4,3,1,2,1
8.686326600082204,29.05904366726042,67.80083402231574,4.540016211961149,76.63280530092547,0,2,0,3,3,1
5.592630224331111,98.78729591698676,91.60553612930208,6.88274235780237,49.62192436718459,1,0,1,2,1,1
9.864594334728974,87.11184691567473,75.56141583330358,1.4055296757836078,80.41872504849445,2,1,1,0,2,1
9.245991883601897,29.97301449626135,67.30704505859347,4.855896996593978,50.75519534435685,3,5,0,0,8,0
6.455525998052242,93.66735060938979,52.70336271807629,0.27536719869465487,81.63697543060941,1,4,0,2,2,1
6.318212352431953,89.59170896497027,53.31013391407386,5.054551179104499,53.775889645238124,1,2,0,1,10,0
6.325320294340452,61.50704457008577,76.86408686387331,9.640174071177023,47.0530780090132,3,5,1,0,4,1
6.8690900933179195,67.30203485959434,99.58975528548173,3.8420671298580023,49.91706940857745,3,3,1,1,1,1
7.861403942345071,51.920216309610424,76.3287432894565,0.38996012574911587,40.11952811314421,1,1,3,2,3,0
